177	regret	後悔	He regrets that decision.	彼はその決断を後悔している。	かれはそのけつだんをこうかいしている。
178	under	下に、以下のような位置や状況を示す前置詞	The cat is sleeping under the table.	猫はテーブルの下で寝ています。	ねこはてーぶるのしたでねています。
179	ready	準備ができた状態	He got all the materials ready for the meeting.	彼は会議のためにすべての資料を準備しました。	かれはかいぎのためにすべてのしりょうをじゅんびしました。
180	pile	山積み、積み重なったもの	The pile of books on the table is getting higher.	テーブルの上の本の山がどんどん高くなっている。	てーぶるのうえのほんのやまがどんどんたかくなっている。
181	entire	全体の、すべての	She read the entire book in just two days.	彼女はたった2日でその本を全部読みました。	かのじょはたったふつかでそのほんをぜんぶよみました。
182	old	古い、年老いた	My grandfather has a collection of old coins.	私の祖父は古いコインのコレクションを持っています。	わたしのそふはふるいこいんのこれくしょんをもっています。
183	chalk	チョーク、黒板や壁に書くための細い棒状のもの	She wrote the math equation on the board with a piece of chalk.	彼女は黒板にチョークを使って数学の方程式を書きました。	かのじょはこくばんにちょーくをつかってすうがくのほうていしきをかきました。
184	cowardice	臆病、弱気	His cowardice prevented him from standing up for what he believed in.	彼は臆病だったため、自分の信念を貫くことができなかった。	かれはおくびょうだったため、じぶんのしんねんをつらぬくことができなかった。
185	different	異なる	Their opinions seem to be different.	彼らの意見は異なっているようです。	かれらのいけんはことなっているようです。
186	corner	角、隅	There's a convenience store on the corner.	角にコンビニがあります。	かどにこんびにがあります。
187	tide	潮、干潮と満潮の変動	The tide comes in and out every six hours.	潮は6時間ごとに出入りします。	しおは6じかんごとにでいりします。
188	welcome	歓迎する、迎える	We warmly welcome all our guests to the event.	私たちはイベントにすべてのゲストを心から歓迎します。	わたしたちはいべんとにすべてのげすとをこころからかんげいします。
189	brass	真鍮、金属の合金（主に銅と亜鉛）	The trumpet was made of brass, giving it a bright and powerful sound.	そのトランペットは真鍮で作られており、明るく力強い音を出していました。	そのとらんぺっとはしんちゅうでつくられており、あかるくちからづよいおとをだしていました。
190	grammar	文法	Understanding grammar is essential for mastering a new language.	新しい言語を習得するためには、文法を理解することが不可欠です。	あたらしいげんごをしゅうとくするためには、ぶんぽうをりかいすることがふかけつです。
