id	word	definition_en	definition_ja	example_en	example_ja	kana	level	grouping	similar_ids
106	cent	a monetary unit equal to one hundredth of a dollar or a dollar equivalent in other currencies	セント（通貨の単位）、100分の1ドル	This candy costs fifty cents.	このキャンディは50セントです。	このきゃんでぃは50せんとです。	1	4	783,3,626,13607,10267,13801,11162,1437,11759,13374
107	gift	something given to someone without payment in return, usually as a sign of affection or celebration	贈り物、プレゼント	I received a wonderful gift on my birthday.	誕生日に素晴らしい贈り物をもらいました。	たんじょうびにすばらしいおくりものをもらいました。	1	4	1156,8020,11084,7295,6895,11928,8083,2332,5086,6834
108	for	used to indicate the purpose of something or the intended recipient	〜のために、〜に対して	This gift is for you to celebrate your achievement.	この贈り物は、あなたの達成を祝うためのものです。	このおくりものは、あなたのたっせいをいわうためのものです。	1	1	11853,8239,615,7731,4779,9604,12660,3634,466,11751
109	above	at a higher level or position than something else	上に、上昇している	The airplane flew above the clouds.	その飛行機は雲の上を飛んだ。	そのひこうきはくものうえをとんだ。	1	0	1881,222,662,6496,6661,5819,1764,12250,9884,9964
110	seem	to give the impression of being or doing something, often based on appearance or evidence	見える、思われる	It may seem difficult at first, but with practice, you will improve.	最初は難しそうに思えるかもしれませんが、練習すれば上達します。	さいしょはむずかしそうにおもえるかもしれませんが、れんしゅうすればじょうたつします。	1	1	11696,10080,11056,5513,7795,3154,7545,1579,6805,11490
111	store	a place where items are kept or sold	店、保管する場所	I need to go to the store to buy some groceries.	私は食料品を買うために店に行く必要があります。	わたしはしょくりょうひんをかうためにみせにいくひつようがあります。	1	4	13754,4969,7331,1582,10029,5710,3667,10815,13487,1871
112	electric	relating to electricity or powered by electricity	電気、電動の	He bought a new electric bicycle and enjoys moving around the city freely.	彼は新しい電動自転車を買って、街を自由に移動しています。	かれはあたらしいでんどうじてんしゃをかって、まちをじゆうにいどうしています。	1	3	12020,11563,10343,11729,3954,13973,8335,8126,6128,649
113	musician	a person who plays a musical instrument or is musically talented	音楽家、ミュージシャン	She is a talented musician who plays the violin beautifully.	彼女は美しくバイオリンを弾く才能ある音楽家です。	かのじょはうつくしくばいおりんをひくさいのうあるおんがくかです。	1	4	3542,13628,10212,12083,3715,12481,5422,9380,9336,10256
114	presence	the state of being present or existing	存在、出席	Her presence at the meeting made a big difference.	彼女の出席が会議に大きな影響を与えました。	かのじょのしゅっせきがかいぎにおおきなえいきょうをあたえました。	1	3	1648,3859,13201,725,1968,11072,6314,4337,9846,1544
115	character	the mental and moral qualities distinctive to an individual or a fictional person in a story	キャラクター、性格	Her character is very charming and loved by many people.	彼女のキャラクターはとても魅力的で、多くの人に愛されています。	かのじょのきゃらくたーはとてもみりょくてきで、おおくのひとにあいされています。	1	3	10431,916,2599,10411,12794,2119,10409,1146,11808,4614
116	practice	the act of doing something repeatedly to improve skill or a customary way of doing something	練習	By practicing a little every day, your skills will surely improve.	毎日少しずつ練習を重ねることで、スキルは確実に向上します。	まいにちすこしずつれんしゅうをかさねることで、すきるはかくじつにこうじょうします。	1	1	7657,7984,13278,1857,11830,5851,2129,3158,10172,995
117	hurt	to cause pain or injury to someone or oneself	傷つける、痛める	He was hurt by his friend's words.	彼は友達の言葉に傷ついてしまった。	かれはともだちのことばにきずついてしまった。	1	2	8027,4149,8661,8339,3113,8688,3717,4876,13697,6267
118	blade	the flat cutting edge of a knife, sword, or other cutting instrument	刃、刀身	The chef skillfully sliced the vegetables with a sharp blade.	シェフは鋭い刃で野菜を手際よく切りました。	しぇふはするどいはでやさいをてぎわよくきりました。	1	4	135,443,10086,723,1997,14314,369,3344,458,13170
119	cautious	being careful to avoid potential problems or dangers	慎重な、用心深い	She is always cautious when making important decisions.	彼女は重要な決定を下すとき、常に慎重です。	かのじょはじゅうようなけっていをくだすとき、つねにしんちょうです。	1	3	51,6533,4896,11308,3454,1606,7445,3405,4029,12267
120	advance	to move forward or make progress; or an act of moving forward	前進、進展	She made significant advances in her research on renewable energy.	彼女は再生可能エネルギーに関する研究で重要な進展を遂げました。	かのじょはさいせいかのうえねるぎーにかんするけんきゅうでじゅうようなしんてんをとげました。	1	1	11633,1882,8746,12073,9744,10991,3789,7498,4751,10596
121	bottle	a glass or plastic container with a narrow neck used for holding liquids	ボトル、瓶	I need to buy a bottle of water before the hike.	ハイキングの前に水のボトルを買う必要があります。	はいきんぐのまえにみずのぼとるをかうひつようがあります。	1	4	7193,5206,321,1452,7738,1413,32,10088,8369,2246
122	act	to do something; a deed or action	行動する、演じる	He acted courageously.	彼は勇気を持って行動した。	かれはゆうきをもってこうどうした。	1	1	10982,1894,3813,9807,12381,11321,11555,9755,8917,1935
123	dot	a small round mark or spot	点、小さな丸	Please put a dot at the end of each sentence.	各文の最後に点を付けてください。	かくぶんのさいごにてんをつけてください。	1	4	775,2405,10594,1913,11503,3171,5200,550,8663,13938
124	photograph	a picture made by a camera	写真、撮影した映像	She took a beautiful photograph of the sunset.	彼女は夕日を美しく撮影した。	かのじょはゆうひをうつくしくさつえいした。	1	4	9385,12532,9366,3410,1477,963,1714,9386,9271,9990
125	reach	to extend your arm in order to touch, pick up, or grasp something; the maximum distance or level that you can reach	到達する、手が届く	I hope to reach my goals by the end of this year.	私は今年の終わりまでに目標を達成したいと思っています。	わたしはことしのおわりまでにもくひょうをたっせいしたいとおもっています。	1	1	12066,2023,2185,13980,11866,2387,68,14396,6222,1120
